TF	DF	WORD
569	484	news
500	382	travel
476	425	busi
325	281	market
310	274	art
307	286	love
296	257	sport
264	258	help
254	248	world
252	245	us
252	238	follow
249	212	educ
238	199	health
236	205	tweet
224	213	onlin
211	187	design
207	203	manag
201	196	provid
197	180	polit
196	177	media
191	185	life
190	173	technolog
178	168	music
178	167	free
175	169	blogger
174	161	social
173	163	commun
172	144	tech
168	159	servic
163	154	new
163	148	product
163	146	peopl
160	148	best
148	144	author
148	137	entertain
145	134	digit
143	138	twitter
140	135	make
139	135	support
138	137	work
138	133	consult
136	129	shop
133	125	live
132	125	account
130	128	writer
130	127	uk
124	118	im
121	120	brand
121	111	develop
120	119	latest
120	114	artist
119	115	book
118	118	view
118	116	entrepreneur
116	112	inspir
115	112	offer
113	113	daili
112	110	get
112	100	learn
111	108	share
109	99	one
107	104	inform
106	104	compani
106	101	promot
106	97	thing
105	100	find
105	97	lead
105	91	event
104	98	time
103	97	lover
103	89	job
103	75	usa
102	102	also
102	98	coach
101	99	use
100	98	blog
99	90	famili
98	98	lifestyl
98	96	creat
98	93	research
97	96	thi
97	90	tip
97	74	de
96	93	websit
96	93	cultur
95	93	top
95	90	creativ
95	89	global
94	94	passion
94	91	solut
92	91	like
91	91	visit
91	91	offici
91	90	innov
91	87	network
91	77	school
90	89	need
89	89	founder
89	87	profession
89	87	fan
88	88	person
88	84	food
87	85	home
87	84	fashion
86	81	opinion
84	84	custom
84	79	sale
80	78	girl
80	75	teacher
79	73	scienc
77	74	year
77	65	program
76	76	interest
76	75	owner
76	74	sourc
76	62	review
75	74	day
75	71	build
74	74	bring
74	74	base
74	67	ceo
73	71	leadership
73	69	retweet
73	68	univers
73	67	natur
72	71	industri
72	70	join
72	70	member
72	69	sustain
71	68	content
71	65	link
71	61	beauti
71	60	deal
70	69	startup
70	65	fit
69	69	sinc
68	66	photograph
68	64	good
68	62	right
67	67	enjoy
67	66	public
67	65	director
67	62	web
66	65	special
65	65	experi
65	63	want
65	62	softwar
65	61	expert
65	59	video
64	62	onli
64	41	jewelri
63	62	instagram
63	62	write
63	60	team
63	48	parti
62	62	socialmedia
62	61	anim
62	61	children
62	61	sell
62	57	youtub
60	60	connect
60	59	around
60	56	mom
59	59	leader
59	59	current
59	58	independ
59	58	well
59	58	student
59	57	advoc
59	56	host
59	56	ha
59	56	train
59	55	deliv
59	54	tv
59	29	escort
58	58	qualiti
58	58	speaker
58	58	enthusiast
58	57	nerd
58	55	ebay
57	56	group
57	56	care
56	56	store
56	56	endors
55	55	facebook
55	55	phd
55	53	photographi
55	52	see
55	52	game
55	51	podcast
54	54	celebr
54	54	intern
54	50	everi
53	53	check
53	52	pleas
53	51	local
52	52	citi
52	52	gener
52	52	serv
52	52	movi
51	51	contact
51	50	let
51	49	fun
51	48	nation
51	47	women
50	50	stuff
50	50	ig
50	50	great
50	50	cover
50	49	publish
50	47	mobil
50	45	collect
50	42	engin
49	49	iot
49	49	husband
49	49	internet
49	49	welcom
49	47	updat
49	47	believ
49	45	chang
49	45	first
48	48	proud
48	47	client
48	47	pr
48	47	show
48	47	engag
48	41	lot
47	47	explor
47	47	system
47	47	way
47	47	break
47	46	human
47	46	cryptocurr
47	46	organ
47	45	adventur
47	45	film
47	44	data
46	46	power
46	46	heart
46	46	geek
46	46	worldwid
46	46	today
46	45	post
46	42	includ
46	42	seo
46	37	wa
45	45	cloud
45	45	fb
45	44	grow
45	44	strategi
45	43	site
45	43	counti
45	43	small
45	43	father
45	42	1
45	38	secur
44	44	relat
44	44	dont
44	44	stori
44	43	dedic
44	43	ai
44	41	high
44	41	editor
44	40	la
44	35	affili
43	43	come
43	43	healthi
43	42	place
43	40	app
43	40	real
43	38	magazin
43	38	beach
42	42	247
42	41	specialist
42	41	countri
42	41	perform
42	41	4
42	39	golf
42	27	quot
41	41	think
41	40	big
41	40	dream
41	38	europ
40	40	resourc
40	40	start
40	39	2
40	38	success
40	38	go
40	37	channel
40	37	improv
40	36	american
40	36	read
40	34	colleg
39	39	god
39	39	much
39	39	feed
39	38	intellig
39	38	produc
39	38	fintech
39	38	journal
39	37	photo
39	35	financ
38	38	ambassador
38	38	platform
38	38	back
38	38	100
38	38	curat
38	38	next
38	37	featur
38	36	everyth
38	36	agenc
38	36	call
38	35	mind
38	33	certifi
37	37	ship
37	37	email
37	37	citizen
37	37	uniqu
37	37	take
37	37	better
37	36	money
37	36	trend
37	36	luxuri
37	36	futur
37	36	report
36	36	thought
36	36	idea
36	36	coffe
36	36	partner
36	35	eu
36	34	invest
36	33	look
36	33	man
35	35	cofound
35	35	info
35	35	optimist
35	35	ani
35	35	associ
35	35	followback
35	34	20
35	34	tenni
35	34	project
35	34	happi
35	34	equal
35	26	amazon
34	34	influenc
34	34	freelanc
34	34	full
34	34	posit
34	33	advertis
34	32	trainer
34	32	tri
34	31	style
34	31	award
34	30	radio
33	33	mentor
33	33	financi
33	33	exclus
33	33	area
33	33	cricket
33	33	state
33	32	footbal
33	32	name
33	32	give
33	31	canada
33	30	gift
33	30	open
33	30	analyt
33	25	en
32	32	etc
32	32	humor
32	32	two
32	32	save
32	32	wife
32	31	win
32	30	india
32	30	tool
32	29	etsi
32	29	healthcar
31	31	cleantech
31	31	highlight
31	31	nfl
31	30	board
31	30	america
31	30	locat
31	29	corpor
31	29	english
31	28	vintag
31	27	respons
31	25	articl
30	30	happen
30	30	investor
30	30	voic
30	30	buy
30	30	south
30	30	collabor
30	30	mani
30	30	bigdata
30	30	across
30	30	execut
30	30	freedom
30	30	hous
30	30	nba
30	29	wine
30	29	w
30	29	stay
30	28	offic
30	28	tea
30	27	know
30	26	handmad
30	25	say
29	29	activ
29	29	discov
29	29	autonomousvehicl
29	29	environ
29	29	bitcoin
29	29	part
29	29	focu
29	29	practic
29	29	keep
29	28	econom
29	27	organis
29	27	retail
29	27	knowledg
29	27	paint
28	28	boy
28	28	teach
28	28	creator
28	28	dad
28	28	born
28	28	empow
28	28	soccer
28	28	hi
28	28	conserv
28	27	european
28	27	hotel
28	27	issu
28	27	former
28	26	histori
28	26	polici
28	26	trade
28	26	blockchain
28	25	languag
27	27	swim
27	27	strategist
27	27	valu
27	27	cnn
27	27	advic
27	27	digitalmarket
27	27	avail
27	27	trump
27	27	costarica
27	27	directorio
27	27	privado
27	27	institut
27	27	turn
27	27	focus
27	26	enterpris
27	26	opportun
27	26	rais
27	26	trip
27	26	run
27	24	convers
26	26	london
26	26	fox
26	26	afford
26	26	friend
26	26	cycl
26	26	exist
26	26	reader
26	26	discount
26	26	stop
26	26	major
26	26	dm
26	26	togeth
26	25	journalist
26	25	meet
26	25	android
26	23	west
26	23	ibm
26	14	microsoft
25	25	hot
25	25	cheer
25	25	ifb
25	25	search
25	25	got
25	25	headlin
25	25	massiv
25	25	challeng
25	24	youth
25	24	cloth
25	24	kid
25	24	chariti
25	23	space
25	22	growth
24	24	mission
24	24	ff
24	24	uptod
24	24	50
24	24	comput
24	24	age
24	24	individu
24	24	everywher
24	24	page
24	24	graphic
24	24	outlet
24	23	2018
24	22	studi
24	22	green
24	22	class
24	21	decor
24	20	parent
24	18	remain
24	13	color
23	23	geotarget
23	23	educationteach
23	23	aim
23	23	less
23	23	play
23	23	analysi
23	23	10
23	23	insight
23	22	3
23	22	motiv
23	22	guy
23	22	firm
23	22	plan
23	22	pin
23	22	mother
23	22	talk
23	22	child
23	22	modern
23	21	peac
23	21	medic
23	21	model
23	21	18
23	21	differ
23	20	fine
23	19	mean
23	12	bot
22	22	gossip
22	22	list
22	22	campaign
22	22	awesom
22	22	head
22	22	storytel
22	22	mine
22	22	soul
22	22	guid
22	22	brexit
22	22	presid
22	22	trust
22	22	alway
22	22	senior
22	22	vietnam
22	22	amaz
22	22	progress
22	22	reach
22	22	ex
22	22	integr
22	22	becom
22	22	actor
22	22	oper
22	21	men
22	21	car
22	21	price
22	21	nutrit
22	21	item
22	20	nonprofit
21	21	poet
21	21	largest
21	21	foodi
21	21	veteran
21	21	click
21	21	christian
21	21	florida
21	21	ecommerc
21	21	strong
21	21	snooker
21	21	professor
21	21	gamer
21	21	result
21	21	regist
21	21	fair
21	21	access
21	21	week
21	21	avid
21	19	center
21	18	recruit
21	18	woman
21	17	le
21	16	promo
21	12	x
20	20	career
20	20	accessori
20	20	print
20	20	scientist
20	20	marietta
20	20	cobb
20	20	1866
20	20	main
20	20	cosmet
20	20	resel
20	20	long
20	20	fight
20	20	chief
20	19	self
20	19	old
20	19	wed
20	19	googl
20	19	sector
20	19	yoga
20	19	cours
20	19	unit
20	19	illustr
20	18	comic
20	16	cruis
20	16	seri
20	14	black
19	19	tradit
19	19	nyc
19	19	linkedin
19	19	awardwin
19	19	lo
19	19	would
19	19	player
19	19	hashtag
19	19	technic
19	19	hub
19	19	score
19	19	assist
19	19	eth
19	19	could
19	19	watch
19	18	master
19	18	dog
19	18	b2b
19	18	tourism
19	18	cool
19	18	test
19	18	biz
19	18	academi
19	18	stream
19	17	cant
19	17	athlet
19	16	energi
19	15	mental
19	13	minut
18	18	30
18	18	goal
18	18	light
18	18	hope
18	18	increas
18	18	virtual
18	18	origin
18	18	seller
18	18	24
18	18	govern
18	18	combin
18	18	destin
18	18	lectur
18	18	resid
18	18	btc
18	18	suppli
18	18	young
18	18	televis
18	18	select
18	18	co
18	18	enhanc
18	18	craft
18	18	nhl
18	18	everyon
18	17	code
18	17	studio
18	17	coupon
18	17	psycholog
18	17	danc
18	17	planet
18	16	law
18	16	end
18	15	outdoor
18	15	club
17	17	ever
17	17	ireland
17	17	est
17	17	interact
17	17	found
17	17	theatr
17	17	bbc
17	17	huffpost
17	17	foundat
17	17	feel
17	17	order
17	17	winner
17	17	truth
17	17	word
17	17	anyth
17	17	york
17	17	2017
17	17	friendli
17	17	addict
17	17	may
17	17	thank
17	17	fast
17	17	edtech
17	17	advisor
17	17	doctor
17	17	problem
17	17	mlb
17	17	forc
17	17	impact
17	16	centr
17	16	vacat
17	16	smart
17	16	eat
17	16	programm
17	16	date
17	16	consum
17	12	shoe
17	12	therapi
16	16	made
16	16	maker
16	16	varieti
16	16	7
16	16	achiev
16	16	north
16	16	activist
16	16	newspap
16	16	adult
16	16	transform
16	16	premier
16	16	affair
16	16	earn
16	16	equip
16	16	learner
16	16	nativ
16	16	ladi
16	16	commit
16	16	vlogger
16	16	greatest
16	16	advanc
16	16	true
16	16	entrepreneurship
16	15	hike
16	15	netherland
16	15	vancouv
16	15	40
16	15	easi
16	15	bodi
16	15	east
16	15	fact
16	14	novel
16	13	pro
16	13	autom
16	9	tshirt
15	15	royal
15	15	understand
15	15	realest
15	15	mix
15	15	fli
15	15	imag
15	15	hr
15	15	specialis
15	15	control
15	15	5
15	15	without
15	15	reuter
15	15	attorney
15	15	flight
15	15	org
15	15	nurs
15	15	crypto
15	15	everyday
15	15	rang
15	15	emerg
15	15	indian
15	15	perfect
15	15	colorado
15	15	weight
15	15	supplement
15	15	dubai
15	15	manufactur
15	15	weekli
15	15	stock
15	15	commiss
15	15	horror
15	15	pain
15	15	philosophi
15	15	act
15	15	earth
15	15	journey
15	15	hbcu
15	15	defens
15	15	except
15	15	subscrib
15	14	angel
15	14	visual
15	14	star
15	14	et
15	14	justic
15	14	jesu
15	14	comedi
15	14	dj
15	14	mark
15	13	societi
15	12	robot
15	11	road
15	9	e
14	14	aspir
14	14	ad
14	14	thoughtlead
14	14	theresist
14	14	thinker
14	14	nbc
14	14	direct
14	14	estat
14	14	fund
14	14	protect
14	14	wear
14	14	guardian
14	14	bloomberg
14	14	fee
14	14	edecan
14	14	viaj
14	14	agenciaescort
14	14	costaricaescort
14	14	plu
14	14	behind
14	14	architectur
14	14	leadingwithpass
14	14	awar
14	14	effect
14	14	climat
14	14	critic
14	14	prevent
14	14	democraci
14	14	dot
14	14	basebal
14	14	even
14	14	6
14	14	son
14	14	medicin
14	14	employ
14	14	simpl
14	14	museum
14	14	comment
14	14	giveaway
14	14	que
14	14	sky
14	14	premium
14	14	user
14	14	dash
14	14	laugh
14	14	enabl
14	14	strateg
14	14	last
14	13	walk
14	13	purpos
14	13	higher
14	13	speak
14	13	cancer
14	13	chair
14	13	audienc
14	13	australia
14	13	risk
14	13	pay
14	13	cook
14	13	st
14	13	tour
14	13	bit
14	12	credit
14	12	urban
14	12	safeti
14	12	african
14	12	gadget
14	11	physic
14	10	bar
13	13	variou
13	13	therapist
13	13	coast
13	13	philanthropist
13	13	faith
13	13	dr
13	13	core
13	13	action
13	13	garden
13	13	stem
13	13	seeker
13	13	academ
13	13	friday
13	13	respect
13	13	process
13	13	limit
13	13	filmmak
13	13	becaus
13	13	retir
13	13	blue
13	13	releas
13	13	uae
13	13	scotland
13	13	ny
13	13	repres
13	13	oh
13	13	canadian
13	13	dgb
13	13	ltc
13	13	gamecredit
13	13	bch
13	13	dogecoin
13	13	vertcoin
13	13	potcoin
13	13	level
13	13	express
13	13	question
