TF	DF	WORD
821	579	news
676	529	busi
612	423	travel
518	385	art
502	458	new
479	446	thi
474	336	market
452	407	amp
445	382	love
425	404	us
397	319	sport
343	322	world
340	275	health
339	243	tech
338	270	educ
338	250	music
322	309	help
314	233	shop
311	279	follow
305	296	get
300	277	onlin
293	278	one
287	264	best
287	160	fit
284	243	free
278	237	technolog
277	262	make
272	244	peopl
269	213	design
259	212	learn
250	224	product
245	232	work
243	232	year
242	212	polit
239	239	via
238	205	media
233	217	day
233	214	life
233	207	live
232	229	2018
231	225	latest
230	188	commun
228	212	servic
226	218	use
226	144	job
221	210	like
220	207	time
218	212	provid
218	186	tweet
215	193	social
213	180	book
206	143	fashion
203	193	manag
202	197	need
198	144	food
197	144	school
195	150	sale
192	181	thing
191	185	check
190	184	support
190	179	find
190	142	artist
187	126	beauti
185	179	today
185	172	blogger
184	162	entertain
184	147	cultur
180	173	ha
177	166	twitter
176	150	tip
175	143	brand
174	140	innov
174	136	entrepreneur
172	167	daili
170	163	top
170	143	event
168	130	video
167	160	see
167	142	digit
162	160	dont
162	149	share
162	138	blog
161	136	uk
161	121	game
159	157	join
158	136	inspir
158	123	trump
155	150	look
155	110	ai
154	149	great
154	135	develop
152	148	compani
152	102	startup
151	145	offer
150	106	deal
148	123	famili
146	141	want
144	142	pleas
144	140	creat
144	136	consult
144	135	good
142	133	go
142	102	photographi
141	107	natur
140	120	lifestyl
140	112	well
140	105	scienc
139	131	right
139	128	account
138	129	promot
138	116	creativ
137	132	way
137	129	writer
137	121	lead
137	82	quot
136	133	come
136	131	visit
134	131	view
134	131	take
134	129	author
133	126	show
133	115	research
133	113	women
132	130	onli
132	123	home
131	101	success
130	116	websit
129	124	first
129	120	start
128	103	usa
124	121	interest
123	123	also
123	109	student
122	110	wa
121	112	solut
121	110	coach
121	106	network
120	114	inform
120	99	children
118	86	leadership
117	113	know
117	101	citi
117	99	build
117	91	review
116	116	whi
116	110	2
116	83	iot
115	99	happi
114	105	team
114	102	think
113	111	week
113	106	care
112	111	im
112	109	person
112	91	trend
111	110	10
111	104	custom
111	94	teacher
109	104	fan
109	100	read
109	84	de
108	102	industri
107	89	train
106	102	chang
106	101	everi
106	99	girl
106	97	celebr
103	98	experi
103	87	retail
103	70	podcast
102	87	app
100	91	global
100	88	win
100	83	program
100	81	socialmedia
99	95	link
99	93	say
99	86	fun
98	95	let
98	79	local
98	70	parti
97	82	monday
96	94	next
96	92	profession
96	75	photo
96	53	jewelri
95	95	hi
95	87	leader
95	85	futur
94	93	thank
94	92	1
94	86	univers
94	75	anim
94	74	tv
93	93	bring
93	89	5
93	88	big
93	87	retweet
93	72	money
92	85	content
92	66	secur
91	90	base
91	83	power
91	67	run
91	59	blockchain
90	89	passion
90	73	movi
90	53	ebay
89	87	becom
89	87	post
89	86	keep
89	85	watch
89	82	store
89	36	vietnam
88	87	around
88	85	talk
88	70	film
88	68	kid
88	60	paint
88	29	escort
87	84	click
87	51	etsi
86	85	enjoy
86	82	public
86	77	write
86	59	footbal
86	57	bigdata
85	84	back
85	78	lover
84	80	open
84	79	opinion
83	82	sinc
83	76	plan
83	59	seo
82	79	place
82	79	stori
82	68	youtub
82	65	cryptocurr
81	72	sustain
81	63	nfl
80	79	sourc
79	75	believ
79	72	human
79	70	idea
79	69	data
78	76	group
78	76	2017
78	75	expert
78	74	report
78	73	buy
78	67	save
77	76	connect
77	75	give
77	75	much
77	75	member
77	73	gener
77	70	host
77	65	web
77	50	mlkday
76	72	sell
76	67	instagram
76	66	mobil
76	66	ceo
76	53	style
75	66	heart
